sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
getAllTags,8500,847,484,1791,3067,5610,289,8410,5.87%,137.7,305.1,999.23
TOTAL,8500,847,484,1791,3067,5610,289,8410,5.87%,137.7,305.1,999.23
