Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getAllTags,8500,847,289,8410,1791,999.23,5.87%,137.7,305.11,2269.3
TOTAL,8500,847,289,8410,1791,999.23,5.87%,137.7,305.11,2269.3
