sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
createArticle,4000,751,424,1704,2474,3703,138,9595,"3,57%","63,5","40,2","794,59"
TOTAL,4000,751,424,1704,2474,3703,138,9595,"3,57%","63,5","40,2","794,59"
