Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getImages,1,357,357,357,357,0.00,100.00%,2.8,1.73,633.0
TOTAL,1,357,357,357,357,0.00,100.00%,2.8,1.73,633.0
