sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
getAllAlbums,60,84541,91767,102765,105230,107076,3166,117767,"30,00%",",4","265,5","23193,65"
TOTAL,60,84541,91767,102765,105230,107076,3166,117767,"30,00%",",4","265,5","23193,65"
