Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getAllAlbums,60,84541,3166,117767,102765,"23193,65","30,00%",",4","265,50","633300,5"
TOTAL,60,84541,3166,117767,102765,"23193,65","30,00%",",4","265,50","633300,5"
