sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
getAllSubjects,1,1360,1360,1360,1360,1360,1360,1360,0.00%,.7,47.0,0.00
createSubject,1,74,74,74,74,74,74,74,0.00%,13.5,8.5,0.00
getSubjects,1,67,67,67,67,67,67,67,0.00%,14.9,11.1,0.00
updateSubject,1,82,82,82,82,82,82,82,100.00%,12.2,10.5,0.00
deleteSubject,1,71,71,71,71,71,71,71,0.00%,14.1,8.0,0.00
TOTAL,5,330,74,82,1360,1360,67,1360,20.00%,3.7,49.1,514.62
