Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getAllSubjects,1,1360,1360,1360,1360,0.00,0.00%,.7,47.02,65482.0
createSubject,1,74,74,74,74,0.00,0.00%,13.5,8.46,641.0
getSubjects,1,67,67,67,67,0.00,0.00%,14.9,11.14,764.0
updateSubject,1,82,82,82,82,0.00,100.00%,12.2,10.49,881.0
deleteSubject,1,71,71,71,71,0.00,0.00%,14.1,8.05,585.0
TOTAL,5,330,67,1360,82,514.62,20.00%,3.7,49.08,13670.6
