sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
uploadImages,1,497,497,497,497,497,497,497,100.00%,2.0,2.0,0.00
TOTAL,1,497,497,497,497,497,497,497,100.00%,2.0,2.0,0.00
