sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
getFiles,1,437,437,437,437,437,437,437,"0,00%","2,3","2,3","0,00"
TOTAL,1,437,437,437,437,437,437,437,"0,00%","2,3","2,3","0,00"
