Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getFiles,1,437,437,437,437,"0,00","0,00%","2,3","2,29","1026,0"
TOTAL,1,437,437,437,437,"0,00","0,00%","2,3","2,29","1026,0"
