sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
getAllAlbums,45,5762,6319,8102,10529,11829,770,11829,44.44%,3.5,1717.5,2529.54
TOTAL,45,5762,6319,8102,10529,11829,770,11829,44.44%,3.5,1717.5,2529.54
