Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getAllAlbums,45,5762,770,11829,8102,2529.54,44.44%,3.5,1717.51,501394.9
TOTAL,45,5762,770,11829,8102,2529.54,44.44%,3.5,1717.51,501394.9
