Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getAllGroups,1,568,568,568,568,0.00,0.00%,1.8,3.95,2300.0
createSubject,1,239,239,239,239,0.00,0.00%,4.2,9.40,2300.0
getGroup,1,119,119,119,119,0.00,100.00%,8.4,8.15,993.0
updateSubject,1,159,159,159,159,0.00,100.00%,6.3,6.10,993.0
deleteSubject,1,100,100,100,100,0.00,100.00%,10.0,9.70,993.0
TOTAL,5,237,100,568,239,172.25,60.00%,4.0,5.97,1515.8
