Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getArticles,1,533,533,533,533,"0,00","0,00%","1,9","3,83","2090,0"
createArticle,1,183,183,183,183,"0,00","0,00%","5,5","3,42","640,0"
getArticleById,1,95,95,95,95,"0,00","0,00%","10,5","8,03","781,0"
updateArticle,1,109,109,109,109,"0,00","0,00%","9,2","5,24","585,0"
deleteArticle,1,86,86,86,86,"0,00","0,00%","11,6","6,64","585,0"
TOTAL,5,201,86,533,183,"169,39","0,00%","4,2","3,86","936,2"
