sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
createSubject,6000,398,388,459,501,665,283,1566,0.02%,97.6,70.3,87.07
TOTAL,6000,398,388,459,501,665,283,1566,0.02%,97.6,70.3,87.07
