Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
createSubject,6000,398,283,1566,459,87.07,0.02%,97.6,70.35,738.0
TOTAL,6000,398,283,1566,459,87.07,0.02%,97.6,70.35,738.0
