sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
getAllStudents,1,453,453,453,453,453,453,453,0.00%,2.2,7.5,0.00
createStudent,1,76,76,76,76,76,76,76,0.00%,13.2,8.2,0.00
getStudent,1,85,85,85,85,85,85,85,0.00%,11.8,12.1,0.00
deleteStudent,1,92,92,92,92,92,92,92,0.00%,10.9,6.2,0.00
updateStudent,1,117,117,117,117,117,117,117,100.00%,8.5,8.3,0.00
TOTAL,5,164,92,117,453,453,76,453,20.00%,11.0,14.6,144.84
