Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
createArticle,4000,751,138,9595,1704,"794,59","3,57%","63,5","40,18","647,7"
TOTAL,4000,751,138,9595,1704,"794,59","3,57%","63,5","40,18","647,7"
