Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getArticles,100,725,340,1559,1215,321.04,59.00%,50.4,1207.83,24526.0
TOTAL,100,725,340,1559,1215,321.04,59.00%,50.4,1207.83,24526.0
