sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
getAllGroups,1,1247,1247,1247,1247,1247,1247,1247,0.00%,.8,.6,0.00
createSubject,1,96,96,96,96,96,96,96,0.00%,10.4,7.5,0.00
getGroup,1,120,120,120,120,120,120,120,100.00%,8.3,8.1,0.00
updateSubject,1,398,398,398,398,398,398,398,100.00%,2.5,2.4,0.00
deleteSubject,1,1172,1172,1172,1172,1172,1172,1172,100.00%,.9,.8,0.00
TOTAL,5,606,398,1172,1247,1247,96,1247,60.00%,1.6,1.4,504.14
