Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getAllGroups,1,1247,1247,1247,1247,0.00,0.00%,.8,0.58,738.0
createSubject,1,96,96,96,96,0.00,0.00%,10.4,7.51,738.0
getGroup,1,120,120,120,120,0.00,100.00%,8.3,8.08,993.0
updateSubject,1,398,398,398,398,0.00,100.00%,2.5,2.44,993.0
deleteSubject,1,1172,1172,1172,1172,0.00,100.00%,.9,0.83,993.0
TOTAL,5,606,96,1247,1172,504.14,60.00%,1.6,1.37,891.0
