sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
getAllSubjects,1000,1862,803,4470,5309,6587,329,7409,67.40%,15.7,335.8,1758.22
TOTAL,1000,1862,803,4470,5309,6587,329,7409,67.40%,15.7,335.8,1758.22
