Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
createAlbum,1000,2408,345,9866,3634,961.24,19.90%,92.0,60.57,673.9
TOTAL,1000,2408,345,9866,3634,961.24,19.90%,92.0,60.57,673.9
