sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
createAlbum,1000,2408,2574,3634,3867,4016,345,9866,19.90%,92.0,60.6,961.24
TOTAL,1000,2408,2574,3634,3867,4016,345,9866,19.90%,92.0,60.6,961.24
