sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
getAllGroups,1,568,568,568,568,568,568,568,0.00%,1.8,4.0,0.00
createSubject,1,239,239,239,239,239,239,239,0.00%,4.2,9.4,0.00
getGroup,1,119,119,119,119,119,119,119,100.00%,8.4,8.1,0.00
updateSubject,1,159,159,159,159,159,159,159,100.00%,6.3,6.1,0.00
deleteSubject,1,100,100,100,100,100,100,100,100.00%,10.0,9.7,0.00
TOTAL,5,237,159,239,568,568,100,568,60.00%,4.0,6.0,172.25
