Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getAllStudents,5000,2269,276,18872,7306,3409.40,12.90%,68.3,209.00,3133.1
TOTAL,5000,2269,276,18872,7306,3409.40,12.90%,68.3,209.00,3133.1
