Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getAllTags,1,385,385,385,385,0.00,0.00%,2.6,5.92,2334.0
createTag,1,159,159,159,159,0.00,0.00%,6.3,3.59,585.0
getTag,1,78,78,78,78,0.00,100.00%,12.8,10.88,869.0
updateTag,1,82,82,82,82,0.00,100.00%,12.2,6.97,585.0
deleteTag,1,79,79,79,79,0.00,100.00%,12.7,8.54,691.0
TOTAL,5,156,78,385,159,118.27,60.00%,4.3,4.27,1012.8
