sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
getArticles,1,1060,1060,1060,1060,1060,1060,1060,0.00%,.9,61.9,0.00
createArticle,1,402,402,402,402,402,402,402,0.00%,2.5,1.6,0.00
getArticleById,1,98,98,98,98,98,98,98,100.00%,10.2,6.3,0.00
updateArticle,1,111,111,111,111,111,111,111,100.00%,9.0,5.5,0.00
deleteArticle,1,93,93,93,93,93,93,93,100.00%,10.8,7.3,0.00
TOTAL,5,352,111,402,1060,1060,93,1060,60.00%,3.6,48.6,372.41
