Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getArticles,1,607,607,607,607,"0,00","0,00%","1,6","3,36","2090,0"
createArticle,1,186,186,186,186,"0,00","0,00%","5,4","3,36","640,0"
getArticleById,1,95,95,95,95,"0,00","0,00%","10,5","8,03","781,0"
updateArticle,1,111,111,111,111,"0,00","0,00%","9,0","5,15","585,0"
deleteArticle,1,89,89,89,89,"0,00","0,00%","11,2","6,42","585,0"
TOTAL,5,217,89,607,186,"197,77","0,00%","4,2","3,85","936,2"
